Estacao;Data;Hora;Evaporacao Piche;
83361;01/01/1961;0000;2.3;
83361;02/01/1961;0000;1.9;
83361;03/01/1961;0000;3.6;
83361;04/01/1961;0000;2.4;
83361;05/01/1961;0000;2.3;
83361;06/01/1961;0000;2.9;
83361;07/01/1961;0000;3.3;
83361;08/01/1961;0000;3.4;
83361;09/01/1961;0000;1.2;
83361;10/01/1961;0000;2.1;
83361;11/01/1961;0000;2;
83361;12/01/1961;0000;2.1;
83361;13/01/1961;0000;2.5;
83361;14/01/1961;0000;3.4;
83361;15/01/1961;0000;3.6;
83361;16/01/1961;0000;3;
83361;17/01/1961;0000;2.6;
83361;18/01/1961;0000;2.1;
83361;19/01/1961;0000;3.6;
83361;20/01/1961;0000;4.2;
83361;21/01/1961;0000;3.9;
83361;22/01/1961;0000;3.6;
83361;23/01/1961;0000;1.4;
83361;24/01/1961;0000;2.8;
83361;25/01/1961;0000;2.2;
83361;26/01/1961;0000;0.8;
83361;27/01/1961;0000;0.6;
83361;28/01/1961;0000;0.9;
83361;29/01/1961;0000;0.8;
83361;30/01/1961;0000;1.9;
83361;31/01/1961;0000;3.4;
83361;01/02/1961;0000;2.9;
83361;02/02/1961;0000;3.7;
83361;03/02/1961;0000;2.5;
83361;04/02/1961;0000;1.8;
83361;05/02/1961;0000;2.9;
83361;06/02/1961;0000;3.3;
83361;07/02/1961;0000;3.7;
83361;08/02/1961;0000;3.5;
83361;09/02/1961;0000;2;
83361;10/02/1961;0000;2.8;
83361;11/02/1961;0000;2.3;
83361;12/02/1961;0000;1.4;
83361;13/02/1961;0000;1.6;
83361;14/02/1961;0000;1;
83361;15/02/1961;0000;3.1;
83361;16/02/1961;0000;1.8;
83361;17/02/1961;0000;2.3;
83361;18/02/1961;0000;2.5;
83361;19/02/1961;0000;3.7;
83361;20/02/1961;0000;2.9;
83361;21/02/1961;0000;2.1;
83361;22/02/1961;0000;3;
83361;23/02/1961;0000;1;
83361;24/02/1961;0000;2.7;
83361;25/02/1961;0000;2.9;
83361;26/02/1961;0000;3.8;
83361;27/02/1961;0000;2.6;
83361;28/02/1961;0000;2.6;
83361;01/03/1961;0000;1.2;
83361;02/03/1961;0000;1.3;
83361;03/03/1961;0000;3.4;
83361;04/03/1961;0000;3.4;
83361;05/03/1961;0000;3.8;
83361;06/03/1961;0000;2;
83361;07/03/1961;0000;1;
83361;08/03/1961;0000;1.1;
83361;09/03/1961;0000;1.5;
83361;10/03/1961;0000;2.6;
83361;11/03/1961;0000;2.3;
83361;12/03/1961;0000;3;
83361;13/03/1961;0000;3.3;
83361;14/03/1961;0000;1.9;
83361;15/03/1961;0000;3.2;
83361;16/03/1961;0000;3;
83361;17/03/1961;0000;4.7;
83361;18/03/1961;0000;1.7;
83361;19/03/1961;0000;1.3;
83361;20/03/1961;0000;1.8;
83361;21/03/1961;0000;3.1;
83361;22/03/1961;0000;1.7;
83361;23/03/1961;0000;2.9;
83361;24/03/1961;0000;3.7;
83361;25/03/1961;0000;4.7;
83361;26/03/1961;0000;4.7;
83361;27/03/1961;0000;2.6;
83361;28/03/1961;0000;2.6;
83361;29/03/1961;0000;3;
83361;30/03/1961;0000;3.3;
83361;31/03/1961;0000;3.3;
83361;01/04/1961;0000;3.4;
