Estacao;Data;Hora;Evaporacao Piche;
83309;01/01/1961;0000;2.5;
83309;02/01/1961;0000;1.9;
83309;03/01/1961;0000;2.9;
83309;04/01/1961;0000;2.5;
83309;05/01/1961;0000;1.7;
83309;06/01/1961;0000;2.1;
83309;07/01/1961;0000;2;
83309;08/01/1961;0000;2.8;
83309;09/01/1961;0000;1.4;
83309;10/01/1961;0000;1.1;
83309;11/01/1961;0000;1.9;
83309;12/01/1961;0000;1.7;
83309;13/01/1961;0000;3.1;
83309;14/01/1961;0000;2.4;
83309;15/01/1961;0000;2.7;
83309;16/01/1961;0000;1.9;
83309;17/01/1961;0000;2;
83309;18/01/1961;0000;2.2;
83309;19/01/1961;0000;3.9;
83309;20/01/1961;0000;3.1;
83309;21/01/1961;0000;4.4;
83309;22/01/1961;0000;2.2;
83309;23/01/1961;0000;1.8;
83309;24/01/1961;0000;2.8;
83309;25/01/1961;0000;2.2;
83309;26/01/1961;0000;1.2;
83309;27/01/1961;0000;0.3;
83309;28/01/1961;0000;0.8;
83309;29/01/1961;0000;1.1;
83309;30/01/1961;0000;2;
83309;31/01/1961;0000;1.8;
83309;01/02/1961;0000;2.2;
83309;02/02/1961;0000;3.4;
83309;03/02/1961;0000;2;
83309;05/02/1961;0000;2.5;
83309;06/02/1961;0000;2.4;
83309;07/02/1961;0000;5.5;
83309;08/02/1961;0000;3.5;
83309;09/02/1961;0000;2.1;
83309;10/02/1961;0000;3.4;
83309;11/02/1961;0000;2.4;
83309;12/02/1961;0000;2.4;
83309;13/02/1961;0000;1.7;
83309;14/02/1961;0000;1;
83309;15/02/1961;0000;2.4;
83309;16/02/1961;0000;1.3;
83309;17/02/1961;0000;1.3;
83309;18/02/1961;0000;2.5;
83309;19/02/1961;0000;2.3;
83309;20/02/1961;0000;2.4;
83309;21/02/1961;0000;1.7;
83309;22/02/1961;0000;1.6;
83309;23/02/1961;0000;1.4;
83309;24/02/1961;0000;1.2;
83309;25/02/1961;0000;2;
83309;26/02/1961;0000;2.6;
83309;27/02/1961;0000;2.1;
83309;28/02/1961;0000;2.5;
83309;01/03/1961;0000;0.5;
83309;02/03/1961;0000;2.3;
83309;03/03/1961;0000;3.6;
83309;04/03/1961;0000;3.2;
83309;05/03/1961;0000;2.9;
83309;06/03/1961;0000;1.4;
83309;07/03/1961;0000;2;
83309;08/03/1961;0000;0.9;
83309;09/03/1961;0000;1;
83309;10/03/1961;0000;2.3;
83309;11/03/1961;0000;1.9;
83309;12/03/1961;0000;2.7;
83309;13/03/1961;0000;2.3;
83309;14/03/1961;0000;1.8;
83309;15/03/1961;0000;2.4;
83309;16/03/1961;0000;2.6;
83309;17/03/1961;0000;3.8;
83309;18/03/1961;0000;2.4;
83309;19/03/1961;0000;0.9;
83309;20/03/1961;0000;2;
83309;21/03/1961;0000;2.9;
83309;22/03/1961;0000;1.4;
83309;23/03/1961;0000;3.4;
83309;24/03/1961;0000;4.4;
83309;25/03/1961;0000;4.4;
83309;26/03/1961;0000;4.2;
83309;27/03/1961;0000;1.9;
83309;28/03/1961;0000;2.2;
83309;29/03/1961;0000;3.4;
83309;30/03/1961;0000;3.9;
83309;31/03/1961;0000;1.9;
83309;01/04/1961;0000;2.4;
83309;02/04/1961;0000;3.2;
83309;03/04/1961;0000;2.1;
83309;04/04/1961;0000;3.5;
83309;05/04/1961;0000;2.6;
83309;06/04/1961;0000;2.1;
83309;07/04/1961;0000;2.3;
83309;08/04/1961;0000;4.3;
83309;09/04/1961;0000;4.1;
83309;10/04/1961;0000;2.7;
83309;11/04/1961;0000;4.2;
83309;12/04/1961;0000;3.5;
83309;13/04/1961;0000;4.3;
83309;14/04/1961;0000;2.7;
83309;15/04/1961;0000;3.2;
83309;16/04/1961;0000;2.9;
83309;17/04/1961;0000;2.6;
83309;18/04/1961;0000;2.9;
83309;19/04/1961;0000;0.9;
83309;20/04/1961;0000;2.8;
83309;21/04/1961;0000;0.7;
83309;22/04/1961;0000;2.3;
83309;23/04/1961;0000;3;
83309;24/04/1961;0000;2;
83309;25/04/1961;0000;2.1;
83309;26/04/1961;0000;2.3;
83309;27/04/1961;0000;2.1;
83309;28/04/1961;0000;2.3;
83309;29/04/1961;0000;2.4;
83309;30/04/1961;0000;1.8;
83309;01/05/1961;0000;2.8;
83309;02/05/1961;0000;3.7;
83309;03/05/1961;0000;1.9;
83309;04/05/1961;0000;2.6;
83309;05/05/1961;0000;2;
83309;06/05/1961;0000;3.4;
83309;07/05/1961;0000;2.8;
83309;08/05/1961;0000;1.8;
83309;09/05/1961;0000;1.7;
83309;10/05/1961;0000;2.2;
83309;11/05/1961;0000;2.5;
83309;12/05/1961;0000;2.7;
83309;13/05/1961;0000;1.8;
83309;14/05/1961;0000;1.7;
83309;15/05/1961;0000;2.7;
83309;16/05/1961;0000;4.4;
83309;17/05/1961;0000;3.9;
83309;18/05/1961;0000;4;
83309;19/05/1961;0000;2;
83309;20/05/1961;0000;2.2;
83309;21/05/1961;0000;2;
83309;22/05/1961;0000;2.5;
83309;23/05/1961;0000;2.6;
83309;24/05/1961;0000;2.3;
83309;25/05/1961;0000;3.1;
83309;26/05/1961;0000;3.6;
83309;27/05/1961;0000;3.5;
83309;28/05/1961;0000;4.2;
83309;29/05/1961;0000;4.2;
83309;30/05/1961;0000;4;
83309;31/05/1961;0000;3.7;
83309;01/06/1961;0000;4;
83309;02/06/1961;0000;3.6;
83309;03/06/1961;0000;4.2;
